city_prefix;city_val;district_prefix;district_val;street;street_prefix;street_val
tinh;Nam Định;huyen;Nghĩa Hưng;Tỉnh lộ 490C;tinh lo;490C
tinh;Kiên Giang;thi xa;Hà Tiên;Tỉnh lộ 955A;tinh lo;955A
thanh pho;Hồ Chí Minh;huyen;Bình Chánh;Tỉnh Lộ 830B;tinh lo;830B
thanh pho;Hồ Chí Minh;huyen;Bình Chánh;Tỉnh Lộ 830C;tinh lo;830C
thanh pho;Hồ Chí Minh;huyen;Bình Chánh;Tỉnh Lộ 830D;tinh lo;830D
thanh pho;Hồ Chí Minh;huyen;Bình Chánh;Tỉnh Lộ 833B;tinh lo;833B
thanh pho;Hồ Chí Minh;huyen;Bình Chánh;Tỉnh lộ 835B;tinh lo;835B
thanh pho;Hồ Chí Minh;huyen;Bình Chánh;Tỉnh Lộ 835C;tinh lo;835C
thanh pho;Hồ Chí Minh;huyen;Bình Chánh;Tỉnh Lộ 835D;tinh lo;835D
tinh;Hưng Yên;huyen;Khoái Châu;Tỉnh lộ 199;tinh lo;199
tinh;Hưng Yên;huyen;Mỹ Hào;Tỉnh lộ 198;tinh lo;198
tinh;Hưng Yên;huyen;Văn Giang;Quốc lộ 205;quoc lo;205
tinh;Hưng Yên;huyen;Văn Lâm;Quốc lộ 388;quoc lo;388
tinh;Hưng Yên;huyen;Yên Mỹ;Tỉnh lộ 196;tinh lo;196
thanh pho;Hải Phòng;huyen;An Lão;Tỉnh lộ 360;tinh lo;360
thanh pho;Hải Phòng;quan;Hải An;Tỉnh lộ 356;tinh lo;356
thanh pho;Hải Phòng;quan;Kiến An;Tỉnh lộ 355;tinh lo;355
thanh pho;Hải Phòng;huyen;Thủy Nguyên;Quốc Lộ 359;quoc lo;359
thanh pho;Hải Phòng;huyen;Thủy Nguyên;Tỉnh Lộ 351;tinh lo;351
thanh pho;Hải Phòng;huyen;Thủy Nguyên;Tỉnh lộ 352;tinh lo;352
tinh;Gia Lai;huyen;ChưPRông;Tỉnh Lộ 665;tinh lo;665
tinh;Gia Lai;huyen;Ia Grai;Tỉnh lộ 664;tinh lo;664
tinh;Gia Lai;huyen;Kông Chro;Tỉnh Lộ 667;tinh lo;667
tinh;Cao Bằng;huyen;Hạ Lang;Tỉnh lộ 207;tinh lo;207
tinh;Cao Bằng;huyen;Hà Quảng;Tỉnh lộ 203;tinh lo;203
tinh;Cao Bằng;huyen;Hà Quảng;Tỉnh lộ 210;tinh lo;210
tinh;Cao Bằng;huyen;Thông Nông;Tỉnh lộ 204;tinh lo;204
tinh;Cao Bằng;huyen;Trà Lĩnh;Tỉnh lộ 205;tinh lo;205
tinh;Cao Bằng;huyen;Trà Lĩnh;Tỉnh lộ 211;tinh lo;211
tinh;Cao Bằng;huyen;Trùng Khánh;Tỉnh lộ 206;tinh lo;206
tinh;Bình Định;huyen;An Lão;Quốc Lộ 354;quoc lo;354
tinh;Bình Định;huyen;An Nhơn;Quốc lộ 19A;quoc lo;19A
tinh;Bình Định;huyen;Phù Cát;Tỉnh lộ 639;tinh lo;639
tinh;Bình Định;huyen;Phù Mỹ;Tỉnh lộ 632;tinh lo;632
tinh;Bình Định;thanh pho;Quy Nhơn;Quốc Lộ 19B;quoc lo;19B
tinh;Bình Định;huyen;Tây Sơn;Tỉnh lộ 636;tinh lo;636
tinh;Bình Định;huyen;Tuy Phước;Tỉnh lộ 19C;tinh lo;19C
tinh;Đắk Nông;huyen;Dăk GLong;Tỉnh Lộ 684;tinh lo;684
tinh;Đắk Nông;huyen;Dăk R'Lấp;Tỉnh Lộ 681;tinh lo;681
tinh;Thái Nguyên;huyen;Định Hóa;Tỉnh lộ 264;tinh lo;264
tinh;Thái Nguyên;huyen;Đồng Hỷ;Quốc lộ 217;quoc lo;217
tinh;Thái Nguyên;huyen;Đồng Hỷ;Tỉnh lộ 269;tinh lo;269
tinh;Thái Nguyên;huyen;Phổ Yên;Quốc Lộ 261;quoc lo;261
tinh;Thái Nguyên;huyen;Phổ Yên;Tỉnh lộ 261;tinh lo;261
tinh;Thái Nguyên;huyen;Phú Bình;Tỉnh lộ 266;tinh lo;266
tinh;Thái Nguyên;huyen;Phú Lương;Tỉnh lộ 268;tinh lo;268
tinh;Thái Nguyên;thanh pho;Thái Nguyên;Quốc lộ 922;quoc lo;922
tinh;Tiền Giang;huyen;Cái Bè;Tỉnh lộ 861;tinh lo;861
tinh;Tiền Giang;huyen;Cái Bè;Tỉnh lộ 863;tinh lo;863
tinh;Tiền Giang;huyen;Cái Bè;Tỉnh lộ 869;tinh lo;869
tinh;Tiền Giang;huyen;Châu Thành;Tỉnh lộ 870;tinh lo;870
tinh;Tiền Giang;huyen;Châu Thành;Tỉnh lộ 876;tinh lo;876
tinh;Tiền Giang;huyen;Châu Thành;Tỉnh lộ 878;tinh lo;878
tinh;Tiền Giang;huyen;Gò Công Đông;Tỉnh lộ 862;tinh lo;862
tinh;Tiền Giang;huyen;Gò Công Đông;Tỉnh lộ 871;tinh lo;871
tinh;Tiền Giang;huyen;Gò Công Tây;Tỉnh lộ 872;tinh lo;872
tinh;Tiền Giang;huyen;Gò Công Tây;Tỉnh lộ 873;tinh lo;873
tinh;Tiền Giang;huyen;Gò Công Tây;Tỉnh lộ 877;tinh lo;877
tinh;Tiền Giang;huyen;Huyện Cai Lậy;Tỉnh lộ 847;tinh lo;847
tinh;Tiền Giang;huyen;Huyện Cai Lậy;Tỉnh Lộ 875;tinh lo;875
tinh;Tiền Giang;thanh pho;Mỹ Tho;Tỉnh lộ 864;tinh lo;864
tinh;Tiền Giang;thanh pho;Mỹ Tho;Tỉnh lộ 868;tinh lo;868
tinh;Tiền Giang;thanh pho;Mỹ Tho;Tỉnh lộ 879;tinh lo;879
tinh;Tiền Giang;huyen;Tân Phước;Tỉnh lộ 865;tinh lo;865
tinh;Tiền Giang;huyen;Tân Phước;Tỉnh lộ 866;tinh lo;866
tinh;Tiền Giang;huyen;Tân Phước;Tỉnh lộ 867;tinh lo;867
tinh;Tiền Giang;huyen;Tân Phước;Tỉnh lộ 874;tinh lo;874
tinh;Quảng Ninh;thanh pho;Cẩm Phả;Quốc Lộ 18B;quoc lo;18B
tinh;Quảng Ninh;thanh pho;Hạ Long;Quốc lộ 337;quoc lo;337
tinh;Quảng Ninh;thanh pho;Hạ Long;Tỉnh Lộ 337;tinh lo;337
tinh;Quảng Ninh;huyen;Vân Đồn;Tỉnh lộ 334;tinh lo;334
tinh;Thái Bình;huyen;Hưng Hà;Quốc Lộ 39A;quoc lo;39A
tinh;Thái Bình;huyen;Kiến Xương;Tỉnh lộ 222;tinh lo;222
tinh;Thái Bình;huyen;Quỳnh Phụ;Tỉnh lộ 224;tinh lo;224
tinh;Thái Bình;huyen;Thái Thuỵ;Tỉnh lộ 216;tinh lo;216
tinh;Thái Bình;huyen;Thái Thuỵ;Tỉnh lộ 460;tinh lo;460
tinh;Thái Bình;huyen;Tiền Hải;Tỉnh lộ 219;tinh lo;219
tinh;Thái Bình;huyen;Tiền Hải;Tỉnh lộ 39B;tinh lo;39B
tinh;Thái Bình;huyen;Vũ Thư;Quốc Lộ 10B;quoc lo;10B
tinh;Thái Bình;huyen;Vũ Thư;Tỉnh lộ 223;tinh lo;223
tinh;Thái Bình;huyen;Vũ Thư;Tỉnh lộ 454;tinh lo;454
tinh;Thái Bình;huyen;Vũ Thư;Tỉnh lộ 463;tinh lo;463
tinh;Long An;huyen;Cần Đước;Quốc Lộ 826;quoc lo;826
tinh;Long An;huyen;Cần Đước;Tỉnh lộ 16B;tinh lo;16B
tinh;Long An;huyen;Cần Giuộc;Quốc Lộ 50B;quoc lo;50B
tinh;Long An;huyen;Châu Thành;Tỉnh lộ 208;tinh lo;208
tinh;Long An;huyen;Đức Hòa;Quốc lộ 823;quoc lo;823
tinh;Long An;huyen;Đức Hòa;Tỉnh Lộ 814;tinh lo;814
tinh;Long An;huyen;Đức Hòa;Tỉnh lộ 840;tinh lo;840
tinh;Long An;huyen;Đức Huệ;Quốc Lộ 838;quoc lo;838
tinh;Long An;huyen;Đức Huệ;Tỉnh lộ 816;tinh lo;816
tinh;Long An;huyen;Đức Huệ;Tỉnh lộ 838;tinh lo;838
tinh;Long An;huyen;Đức Huệ;Tỉnh lộ 839;tinh lo;839
tinh;Long An;huyen;Tân Hưng;Tỉnh lộ 831;tinh lo;831
tinh;Long An;huyen;Tân Hưng;Tỉnh lộ 842;tinh lo;842
tinh;Long An;huyen;Tân Thạnh;Tỉnh lộ 829;tinh lo;829
tinh;Long An;huyen;Tân Thạnh;Tỉnh Lộ 837;tinh lo;837
tinh;Long An;huyen;Tân Trụ;Tỉnh lộ 827;tinh lo;827
tinh;Long An;huyen;Tân Trụ;Tỉnh lộ 832;tinh lo;832
tinh;Long An;huyen;Thạnh Hóa;Tỉnh lộ 836;tinh lo;836
tinh;Long An;huyen;Thủ Thừa;Tỉnh Lộ 818;tinh lo;818
tinh;Long An;huyen;Thủ Thừa;Tỉnh lộ 834;tinh lo;834
thanh pho;Hà Nội;huyen;Ba Vì;Quốc Lộ 414;quoc lo;414
thanh pho;Hà Nội;quan;Bắc Từ Liêm;Tỉnh lộ 70A;tinh lo;70A
thanh pho;Hà Nội;huyen;Gia Lâm;Quốc lộ 39B;quoc lo;39B
thanh pho;Hà Nội;huyen;Gia Lâm;Tỉnh lộ 379;tinh lo;379
thanh pho;Hà Nội;huyen;Hoài Đức;Tỉnh lộ 422;tinh lo;422
thanh pho;Hà Nội;huyen;Hoài Đức;Tỉnh Lộ 442;tinh lo;442
thanh pho;Hà Nội;huyen;Mê Linh;Quốc lộ 23B;quoc lo;23B
thanh pho;Hà Nội;huyen;Mê Linh;Quốc lộ 308;quoc lo;308
thanh pho;Hà Nội;huyen;Mê Linh;Tỉnh lộ 308;tinh lo;308
thanh pho;Hà Nội;huyen;Mê Linh;Tỉnh lộ 312;tinh lo;312
thanh pho;Hà Nội;huyen;Mỹ Đức;Tỉnh lộ 431;tinh lo;431
thanh pho;Hà Nội;huyen;Phú Xuyên;Quốc lộ 728;quoc lo;728
thanh pho;Hà Nội;huyen;Phú Xuyên;Tỉnh lộ 428;tinh lo;428
thanh pho;Hà Nội;huyen;Phúc Thọ;Tỉnh lộ 417;tinh lo;417
thanh pho;Hà Nội;huyen;Phúc Thọ;Tỉnh lộ 421;tinh lo;421
thanh pho;Hà Nội;huyen;Sóc Sơn;Tỉnh lộ 131;tinh lo;131
thanh pho;Hà Nội;huyen;Sóc Sơn;Tỉnh lộ 135;tinh lo;135
thanh pho;Hà Nội;thi xa;Sơn Tây;Tỉnh lộ 414;tinh lo;414
thanh pho;Hà Nội;thi xa;Sơn Tây;Tỉnh lộ 416;tinh lo;416
thanh pho;Hà Nội;thi xa;Sơn Tây;Tỉnh Lộ 87A;tinh lo;87A
thanh pho;Hà Nội;huyen;Thạch Thất;Quốc Lộ 420;quoc lo;420
thanh pho;Hà Nội;huyen;Thạch Thất;Quốc lộ 446;quoc lo;446
thanh pho;Hà Nội;huyen;Thạch Thất;Tỉnh lộ 419;tinh lo;419
thanh pho;Hà Nội;huyen;Thạch Thất;Tỉnh lộ 420;tinh lo;420
thanh pho;Hà Nội;huyen;Thanh Oai;Tỉnh Lộ 429;tinh lo;429
thanh pho;Hà Nội;huyen;Thường Tín;Quốc Lộ 71A;quoc lo;71A
thanh pho;Hà Nội;huyen;Thường Tín;Tỉnh lộ 427;tinh lo;427
thanh pho;Hà Nội;huyen;Ứng Hòa;Tỉnh lộ 424;tinh lo;424
tinh;Lào Cai;huyen;Bảo Thắng;Quốc Lộ 151;quoc lo;151
tinh;Lào Cai;thanh pho;Lào Cai;Tỉnh lộ 155;tinh lo;155
tinh;Lào Cai;huyen;Sa Pa;Tỉnh lộ 152;tinh lo;152
tinh;Lào Cai;huyen;Xi Ma Cai;Tỉnh lộ 153;tinh lo;153
tinh;Hà Nam;huyen;Bình Lục;Tỉnh lộ 974;tinh lo;974
tinh;Hà Nam;huyen;Bình Lục;Tỉnh lộ 975;tinh lo;975
tinh;Hà Nam;huyen;Bình Lục;Tỉnh lộ 976;tinh lo;976
tinh;Hà Nam;huyen;Kim Bảng;Tỉnh lộ 711;tinh lo;711
tinh;Hà Nam;huyen;Lý Nhân;Tỉnh lộ 971;tinh lo;971
tinh;Hà Nam;huyen;Lý Nhân;Tỉnh lộ 972;tinh lo;972
tinh;Hà Giang;huyen;Xín Mần;Tỉnh lộ 178;tinh lo;178
tinh;Phú Thọ;thi xa;Phú Thọ;Tỉnh lộ 320;tinh lo;320
tinh;Phú Thọ;huyen;Tam Nông;Tỉnh Lộ 315;tinh lo;315
tinh;Phú Thọ;huyen;Thanh Ba;Tỉnh Lộ 311;tinh lo;311
tinh;Phú Thọ;huyen;Thanh Thủy;Tỉnh Lộ 317;tinh lo;317
tinh;Phú Thọ;thanh pho;Việt Trì;Quốc Lộ 32C;quoc lo;32C
tinh;Phú Thọ;huyen;Yên Lập;Quốc Lộ 70B;quoc lo;70B
tinh;Đồng Nai;thanh pho;Biên Hòa;Tỉnh Lộ 767;tinh lo;767
tinh;Đồng Nai;huyen;Cẩm Mỹ;Tỉnh Lộ 764;tinh lo;764
tinh;Đồng Nai;huyen;Nhơn Trạch;Tỉnh lộ 25C;tinh lo;25C
tinh;Đồng Nai;huyen;Thống Nhất;Tỉnh lộ 769;tinh lo;769
tinh;Đồng Nai;huyen;Vĩnh Cửu;Tỉnh lộ 761;tinh lo;761
tinh;Đồng Nai;huyen;Vĩnh Cửu;Tỉnh lộ 762;tinh lo;762
tinh;Đồng Nai;huyen;Vĩnh Cửu;Tỉnh Lộ 768;tinh lo;768
tinh;Đồng Nai;huyen;Xuân Lộc;Tỉnh lộ 763;tinh lo;763
tinh;Đồng Nai;huyen;Xuân Lộc;Tỉnh lộ 766;tinh lo;766
tinh;Bình Thuận;huyen;Bắc Bình;Quốc Lộ 28B;quoc lo;28B
tinh;Bình Thuận;huyen;Bắc Bình;Tỉnh lộ 28B;tinh lo;28B
tinh;Bình Thuận;huyen;Hàm Tân;Quốc Lộ 55B;quoc lo;55B
tinh;Bình Thuận;huyen;Hàm Thuận Nam;Tỉnh lộ 712;tinh lo;712
tinh;Bình Thuận;huyen;Hàm Thuận Nam;Tỉnh lộ 718;tinh lo;718
tinh;Bình Thuận;thanh pho;Phan Thiết;Tỉnh Lộ 706;tinh lo;706
tinh;Bình Thuận;thanh pho;Phan Thiết;Tỉnh Lộ 715;tinh lo;715
tinh;Bình Thuận;thanh pho;Phan Thiết;Tỉnh Lộ 716;tinh lo;716
tinh;Bình Thuận;thanh pho;Phan Thiết;Tỉnh Lộ 719;tinh lo;719
tinh;Bình Thuận;thanh pho;Phan Thiết;Tỉnh Lộ 76B;tinh lo;76B
tinh;Bình Thuận;huyen;Tánh Linh;Quốc lộ 336;quoc lo;336
tinh;Bình Thuận;huyen;Tánh Linh;Tỉnh Lộ 720;tinh lo;720
tinh;Thanh Hóa;huyen;Cẩm Thủy;Tỉnh lộ 518;tinh lo;518
tinh;Thanh Hóa;huyen;Đông Sơn;Tỉnh lộ 521;tinh lo;521
tinh;Thanh Hóa;huyen;Hoằng Hóa;Tỉnh lộ 509;tinh lo;509
tinh;Thanh Hóa;huyen;Hoằng Hóa;Tỉnh lộ 510;tinh lo;510
tinh;Thanh Hóa;huyen;Nga Sơn;Tỉnh lộ 508;tinh lo;508
tinh;Thanh Hóa;huyen;Ngọc Lặc;Tỉnh lộ 519;tinh lo;519
tinh;Thanh Hóa;huyen;Như Thanh;Tỉnh lộ 513;tinh lo;513
tinh;Thanh Hóa;huyen;Nông Cống;Tỉnh lộ 505;tinh lo;505
tinh;Thanh Hóa;huyen;Nông Cống;Tỉnh lộ 525;tinh lo;525
tinh;Thanh Hóa;huyen;Quan Hóa;Quốc lộ 15C;quoc lo;15C
tinh;Thanh Hóa;huyen;Quan Hóa;Tỉnh lộ 520;tinh lo;520
tinh;Thanh Hóa;huyen;Thạch Thành;Tỉnh lộ 516;tinh lo;516
tinh;Thanh Hóa;huyen;Thạch Thành;Tỉnh lộ 522;tinh lo;522
tinh;Thanh Hóa;huyen;Thạch Thành;Tỉnh lộ 523;tinh lo;523
tinh;Thanh Hóa;huyen;Thiệu Hóa;Tỉnh lộ 515;tinh lo;515
tinh;Thanh Hóa;huyen;Thường Xuân;Tỉnh lộ 507;tinh lo;507
tinh;Thanh Hóa;huyen;Triệu Sơn;Tỉnh lộ 506;tinh lo;506
tinh;Thanh Hóa;huyen;Triệu Sơn;Tỉnh lộ 514;tinh lo;514
tinh;Thanh Hóa;huyen;Triệu Sơn;Tỉnh lộ 517;tinh lo;517
tinh;Thanh Hóa;huyen;Vĩnh Lộc;Tỉnh lộ 217;tinh lo;217
tinh;Vĩnh Phúc;huyen;Bình Xuyên;Quốc Lộ 303;quoc lo;303
tinh;Vĩnh Phúc;huyen;Lập Thạch;Tỉnh Lộ 307;tinh lo;307
tinh;Vĩnh Phúc;thi xa;Phúc Yên;Tỉnh lộ 301;tinh lo;301
tinh;Vĩnh Phúc;huyen;Tam Đảo;Tỉnh Lộ 302;tinh lo;302
tinh;Vĩnh Phúc;huyen;Tam Dương;Tỉnh lộ 309;tinh lo;309
tinh;Vĩnh Phúc;huyen;Tam Dương;Tỉnh Lộ 310;tinh lo;310
tinh;Vĩnh Phúc;huyen;Vĩnh Tường;Tỉnh lộ 304;tinh lo;304
tinh;Vĩnh Phúc;thanh pho;Vĩnh Yên;Tỉnh lộ 23B;tinh lo;23B
tinh;Vĩnh Phúc;huyen;Yên Lạc;Tỉnh lộ 305;tinh lo;305
tinh;Hà Tĩnh;huyen;Nghi Xuân;Tỉnh Lộ 537;tinh lo;537
tinh;Hà Tĩnh;huyen;Thạch Hà;Quốc Lộ 15B;quoc lo;15B
tinh;Bình Phước;huyen;Đồng Phú;Tỉnh Lộ 753;tinh lo;753
tinh;Bình Phước;huyen;Hớn Quản;Tỉnh Lộ 752;tinh lo;752
tinh;Lạng Sơn;huyen;Bình Gia;Tỉnh lộ 225;tinh lo;225
tinh;Lạng Sơn;thanh pho;Lạng Sơn;Tỉnh lộ 234;tinh lo;234
tinh;Lạng Sơn;huyen;Tràng Định;Tỉnh lộ 226;tinh lo;226
tinh;Lạng Sơn;huyen;Văn Lãng;Tỉnh lộ 231;tinh lo;231
tinh;Đồng Tháp;huyen;Châu Thành;Tỉnh Lộ 853;tinh lo;853
tinh;Đồng Tháp;huyen;Châu Thành;Tỉnh lộ 854;tinh lo;854
tinh;Đồng Tháp;huyen;Huyện Cao Lãnh;Tỉnh Lộ 650;tinh lo;650
tinh;Đồng Tháp;huyen;Huyện Cao Lãnh;Tỉnh lộ 850;tinh lo;850
tinh;Đồng Tháp;huyen;Lai Vung;Tỉnh Lộ 851;tinh lo;851
tinh;Đồng Tháp;huyen;Lấp Vò;Tỉnh lộ 849;tinh lo;849
tinh;Đồng Tháp;thi xa;Sa Đéc;Tỉnh Lộ 848;tinh lo;848
tinh;Đồng Tháp;thi xa;Sa Đéc;Tỉnh lộ 852;tinh lo;852
tinh;Đồng Tháp;huyen;Tam Nông;Tỉnh Lộ 855;tinh lo;855
tinh;Đồng Tháp;huyen;Tháp Mười;Tỉnh lộ 846;tinh lo;846
tinh;Tây Ninh;huyen;Dương Minh Châu;Quốc Lộ 784;quoc lo;784
tinh;Tây Ninh;huyen;Gò Dầu;Tỉnh lộ 782;tinh lo;782
tinh;Tây Ninh;thi xa;Tây Ninh;Tỉnh lộ 781;tinh lo;781
tinh;Tây Ninh;thi xa;Tây Ninh;Tỉnh lộ 784;tinh lo;784
tinh;Tây Ninh;huyen;Trảng Bàng;Tỉnh lộ 786;tinh lo;786
tinh;Tây Ninh;huyen;Trảng Bàng;Tỉnh Lộ 789;tinh lo;789
tinh;Bình Dương;thi xa;Bến Cát;Quốc Lộ 741;quoc lo;741
tinh;Bình Dương;thi xa;Bến Cát;Quốc Lộ 744;quoc lo;744
tinh;Bình Dương;thi xa;Bến Cát;Tỉnh lộ 2/9;tinh lo;2/9
tinh;Bình Dương;huyen;Dầu Tiếng;Tỉnh lộ 239;tinh lo;239
tinh;Bình Dương;huyen;Dầu Tiếng;Tỉnh lộ 240;tinh lo;240
tinh;Bình Dương;huyen;Dầu Tiếng;Tỉnh lộ 744;tinh lo;744
tinh;Bình Dương;huyen;Dầu Tiếng;Tỉnh lộ 748;tinh lo;748
tinh;Bình Dương;huyen;Dầu Tiếng;Tỉnh lộ 749;tinh lo;749
tinh;Bình Dương;huyen;Dầu Tiếng;Tỉnh lộ 751;tinh lo;751
tinh;Bình Dương;thi xa;Dĩ An;Tỉnh Lộ 638;tinh lo;638
tinh;Bình Dương;huyen;Phú Giáo;Tỉnh lộ 741;tinh lo;741
tinh;Bình Dương;huyen;Phú Giáo;Tỉnh lộ 750;tinh lo;750
tinh;Bình Dương;huyen;Tân Uyên;Tỉnh lộ 349;tinh lo;349
tinh;Bình Dương;huyen;Tân Uyên;Tỉnh lộ 746;tinh lo;746
tinh;Bình Dương;huyen;Thuận An;Quốc Lộ 743;quoc lo;743
tinh;Bình Dương;huyen;Thuận An;Tỉnh lộ 745;tinh lo;745
tinh;Hậu Giang;huyen;Châu Thành;Quốc lộ 925;quoc lo;925
tinh;Hậu Giang;huyen;Long Mỹ;Tỉnh Lộ 61B;tinh lo;61B
